"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV07_02"	"DV02_01"	"DV08_02"	"DV06_01"	"DV06_02"	"DV05_01"	"DV09_01"	"DV09_01a"	"DV10_01"	"DV10_01a"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
182			"base"	"interview"	2020-03-20 10:54:23	2	16	"59e46fffd838ae00018508e0"	"Forced3Forced4Forced2Forced4Forced4Forced2Forced4Forced4Forced1Forced3Forced4Forced4Forced4Forced3Forced2Forced4DV"	1	1582	1	2304	1	1696	1	1595	1	1407	1	1139	1	750	1	567	1	1189	1	1057	1	1058	1	766	1	937	1	1060	1	949	1	825	21	71	81	96	28	92	79	2	6349	2	5439	"59e46fffd838ae00018508e0"	7	1	2	1	"Italian"	"Italian"	1	40	10	1	6	5	16	6	4	7	11	25	12	14	157		2020-03-20 10:57:00	T	F	14	14	0	0	1.53	51
183			"base"	"interview"	2020-03-20 10:54:24	2	28	"5e1769bc2668d7040bde8654"	"Forced1Forced4Forced3Forced4Forced4Forced2Forced4Forced3Forced2Forced4Forced3Forced4Forced4Forced4Forced4Forced2DV"	1	2603	1	2188	1	2707	1	1845	1	1332	1	2373	1	2641	1	2818	1	1805	1	1711	1	2404	1	2929	1	11576	1	2146	1	1054	1	2689	30	61	11	21	31	61	71	1	8980	2	13891	"5e1769bc2668d7040bde8654"	1	1	2	5	"Hungarian"	"Hungarian"	2	35	16	4	9	11	31	14	12	10	17	27	24	18	228		2020-03-20 10:58:12	T	F	14	14	0	0	0.94	6
184			"base"	"interview"	2020-03-20 10:54:25	2	13	"5bbc6d161b8d350001eb3888"	"Forced1Forced3Forced3Forced2Forced1Forced1Forced2Forced1Forced3Forced1Forced1Forced4Forced1Forced1Forced2Forced1DV"	1	4671	1	1916	1	1486	1	1842	1	1288	1	2050	1	925	1	862	1	852	1	992	1	899	1	1050	1	919	1	858	1	775	1	725	51	24	63	46	29	48	63	2	5711	2	11857	"5bbc6d161b8d350001eb3888"	18	1	2	3	"Italian"	"Italian"	2	33	39	21	6	7	2	13	28	7	11	24	10	10	211		2020-03-20 10:57:56	T	F	14	14	0	0	1.18	20
185			"base"	"interview"	2020-03-20 10:54:25	4	29	"5c0f111d52bf070001d27721"	"Forced1Forced1Forced1Forced1Forced3Forced3Forced1Forced3Forced2Forced4Forced1Forced1Forced2Forced2Forced1Forced1DV"	1	5261	1	7060	1	6183	1	1180	1	1954	1	1275	1	1204	1	1108	1	1769	1	1868	1	1016	1	929	1	989	1	807	1	1182	1	1872	61	71	81	66	53	73	31	1	22648	2	8357	"5c0f111d52bf070001d27721"	3	1	2	2	"Portuguese"	"Portuguese"	2	78	19	33	5	6	3	9	31	24	14	130	18	27	278		2020-03-20 11:01:02	T	F	14	14	0	0	0.92	12
186			"base"	"interview"	2020-03-20 10:54:27	2	19	"5e306dbd001ff8069617732a"	"Forced3Forced3Forced3Forced2Forced3Forced4Forced3Forced3Forced3Forced1Forced1Forced4Forced3Forced1Forced4Forced3DV"	1	7032	1	29649	1	47821	1	9455	1	4894	1	3632	1	1923	1	1964	1	3085	1	3160	1	1637	1	1827	1	2106	1	1483	1	1339	1	1539	55	60	32	41	57	39	35	2	6182	1	12245	"5e306dbd001ff8069617732a"	12	2	2	4	"slovenian"	"slovenian"	2	48	8	9	10	110	10	13	9	7	12	19	12	21	186		2020-03-20 10:59:15	T	F	14	14	0	0	1.05	10
187			"base"	"interview"	2020-03-20 10:54:27	1	13	"5d30429dfb16450016a7a0a9"	"Forced1Forced1Forced1Forced2Forced1Forced1Forced1Forced2Forced2Forced3Forced1Forced3Forced1Forced4Forced3Forced1DV"			-9	-1			-9	-1			-9	-1			-9	-1			-9	-1			-9	-1			-9	-1			-9	-1	21	32	46	21	40	31	26	1	5062	1	3099	"5d30429dfb16450016a7a0a9"	3	1	2	4	"Spanish"	"Spanish"	1	11	13	48	9	7	2	12	14	6	13	25	7	19	147		2020-03-20 10:57:33	T	F	14	14	32	32	1.35	26
189			"base"	"interview"	2020-03-20 10:54:27	1	17	"5cfab9fa7b95af00195cf5db"	"Forced2Forced4Forced1Forced1Forced1Forced1Forced1Forced3Forced1Forced3Forced3Forced2Forced2Forced1Forced1Forced1DV"	1	2072	1	4230	1	2995	1	1279	1	835	1	496	1	522	1	957	1	2904	1	1179	1	1004	1	2751	1	740	1	3118	1	884	1	696	43	44	22	21	23	65	69	2	5524	2	14259	"5cfab9fa7b95af00195cf5db"	11	1	2	3	"british"	"english"	1	25	23	18	7	6	5	15	6	6	10	32	11	30	194		2020-03-20 10:57:41	T	F	14	14	0	0	1.13	12
190			"base"	"interview"	2020-03-20 10:54:29	1	32	"5e204990b062543612e9a254"	"Forced4Forced1Forced4Forced4Forced2Forced2Forced3Forced4Forced4Forced3Forced4Forced4Forced4Forced4Forced3Forced2DV"	1	2685	1	1353	1	1202	1	1124	1	2552	1	1374	1	1233	1	975	1	1062	1	841	1	577	1	748	1	1052	1	534	1	891	1	1333	56	64	61	65	65	75	73	2	2930	2	3535	"5e204990b062543612e9a254"	5	2	2	3	"Irish"	"English "	1	12	25	2	7	5	16	4	5	4	8	16	6	16	126		2020-03-20 10:56:35	T	F	14	14	0	0	1.79	47
191			"base"	"interview"	2020-03-20 10:54:29	3	23	"5e69094c567dee030a97f042"	"Forced1Forced1Forced3Forced3Forced3Forced3Forced1Forced4Forced4Forced3Forced3Forced3Forced3Forced3Forced4Forced2DV"	1	3018	1	4056	1	5071	1	904	1	2844	1	3039	1	8145	1	4619	1	1737	1	4113	1	910	1	735	1	1012	1	3744	1	3047	1	2727	36	76	71	81	31	81	76	2	5751	2	7143	"5e69094c567dee030a97f042"	3	1	2	3	"Polish"	"Polish"	2	67	29	17	3	29	12	8	14	7	16	42	8	23	275		2020-03-20 10:59:04	T	F	14	14	0	0	0.97	10
192			"base"	"interview"	2020-03-20 10:54:29	1	22	"5de8e0ac9ba3e8000a970881"	"Forced1Forced2Forced4Forced2Forced1Forced2Forced2Forced4Forced2Forced2Forced2Forced3Forced1Forced2Forced4Forced2DV"	1	5332	1	3178	1	2722	1	3740	1	2346	1	826	1	908	1	1191	1	933	1	695	1	629	1	1354	1	874	1	737	1	933	1	697	40	59	37	32	38	80	68	2	3020	2	8409	"5de8e0ac9ba3e8000a970881"	16	2	2	5	"Italian "	"Italian "	1	21	21	11	18	2	7	9	6	4	11	18	9	13	150		2020-03-20 10:56:59	T	F	14	14	0	0	1.42	28
