"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV01_01a"	"DV02_01"	"DV02_01a"	"DV03_01"	"DV04_01"	"DV05_01"	"DV05_01a"	"DV06_01"	"DV06_01a"	"DV07_01"	"DV07_02"	"DV08_01"	"DV08_02"	"DV09_01"	"DV09_02"	"DV10_01"	"DV10_02"	"DV11_01"	"DV11_02"	"DV12_01"	"DV12_02"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
43			"base"	"interview"	2020-07-27 11:06:23	0	31	"5ee35c6668a0910298cd9a78"	"Forced2Forced4Forced3Forced3Forced3Forced3Forced3Forced3Forced1Forced3Forced4Forced3Forced1Forced3Forced4Forced1DV"	1	2125	1	1888	1	2311	1	1028	1	1038	1	546	1	560	1	676	1	1364	1	633	1	624	1	641	1	858	1	670	1	609	1	417	2	7836	1	3888	74	36	2	4698	1	5721	38	78			35	73	78	38	38	31	65	69	"5ee35c6668a0910298cd9a78"	1	1	2	2	"Polish"	"Polsih"	2	64	16	4	3	14	5	8	12	5	25	7	5	6	6	14	6	17	217		2020-07-27 11:10:00	T	F	18	18	0	0	1.36	21
44			"base"	"interview"	2020-07-27 11:06:25	0	30	"5b8fe6de30fa28000100f8db"	"Forced2Forced4Forced2Forced1Forced3Forced4Forced2Forced2Forced1Forced4Forced2Forced2Forced2Forced2Forced1Forced2DV"	1	4580	1	7195	1	8070	1	6835	1	3759	1	2374	1	2688	1	3500	1	3217	1	2015	1	2320	1	1467	1	1917	1	2113	1	1897	1	1591	2	9874	1	2893	59	44	2	3139	1	5512	49	70			40	46	56	67	37	37	40	37	"5b8fe6de30fa28000100f8db"	10	3	2	5	"italian"	"italian"	2	30	17	14	37	4	12	10	12	3	30	14	4	7	6	11	9	19	239		2020-07-27 11:10:24	T	F	18	18	0	0	1.11	11
45			"base"	"interview"	2020-07-27 11:06:26	0	54	"5e9f585bcaf4690eed9a1ff4"	"Forced3Forced2Forced2Forced2Forced4Forced2Forced2Forced1Forced2Forced2Forced4Forced1Forced4Forced2Forced1Forced2DV"	1	10955	1	4389	1	2245	1	1465	1	2619	1	3049	1	1365	1	1664	1	931	1	827	1	1111	1	1258	1	997	1	764	1	787	1	632	2	4837	1	8460	80	35	2	6121	1	8002			87	24	25	63	71	31	77	74	67	68	"5e9f585bcaf4690eed9a1ff4"	24	1	2	3	"British"	"English"	1	50	6	6	21	11	7	9	14	9	38	9	6	9	7	22	23	20	255		2020-07-27 11:10:53	T	F	18	18	0	0	0.99	8
46			"base"	"interview"	2020-07-27 11:06:34	0	20	"5c183335cbe760000142f24a"	"Forced4Forced4Forced4Forced4Forced4Forced2Forced4Forced3Forced2Forced4Forced4Forced2Forced1Forced4Forced3Forced3DV"	1	6132	1	3512	1	2403	1	1584	1	1818	1	3296	1	1829	1	2633	1	2002	1	1539	1	1408	1	1559	1	2575	1	1338	1	1410	1	1155	2	16447	1	4803	51	16	2	5226	2	6813	3	47			11	42	91	61	86	86	86	86	"5c183335cbe760000142f24a"	12	1	2	2	"Poland"	"polish"	2	35	19	3	9	8	27	17	10	6	24	14	5	16	7	24	12	17	253		2020-07-27 11:10:47	T	F	18	18	0	0	1.02	8
47			"base"	"interview"	2020-07-27 11:06:48	0	33	"5ef4651f13a5f80009d35856"	"Forced3Forced1Forced1Forced1Forced3Forced1Forced1Forced1Forced1Forced2Forced3Forced2Forced4Forced2Forced1Forced1DV"																																																														1	17	2																19		2020-07-27 11:07:07	F	F	2	2	50	50	2.35	193
48			"base"	"interview"	2020-07-27 11:06:59	0	44	"5ee3ded1c6b67d0bbf76c201"	"Forced2Forced4Forced4Forced3Forced4Forced3Forced4Forced4Forced1Forced3Forced4Forced4Forced2Forced4Forced4Forced2DV"																																																							"5ee3ded1c6b67d0bbf76c201"							2	68	24																92		2020-07-27 11:08:31	F	F	2	2	0	0	0.55	0
49			"base"	"interview"	2020-07-27 11:07:24	0	39	"5c8fc1124ba2a40001dfa054"	"Forced4Forced3Forced1Forced4Forced3Forced1Forced3Forced3Forced3Forced3Forced3Forced3Forced1Forced2Forced3Forced4DV"	1	3934	1	2069	1	1899	1	1671	1	1112	1	1067	1	1664	1	1068	1	913	1	802	1	774	1	662	1	1030	1	1269	1	767	1	769	1	3460	2	7678	23	75	1	4046	2	5923			11	71	90	52	11	79	94	92	91	82	"5c8fc1124ba2a40001dfa054"	8	2	2	4	"portuguese"	"portuguese"	2	41	21	6	2	14	10	8	7	7	34	16	4	10	5	21	12	23	241		2020-07-27 11:11:25	T	F	18	18	0	0	1.11	16
50			"base"	"interview"	2020-07-27 11:07:44	0	50	"5ef4ab8bf256e60867b03916"	"Forced2Forced4Forced4Forced2Forced4Forced2Forced2Forced1Forced2Forced1Forced3Forced1Forced2Forced2Forced2Forced2DV"	1	5496	1	2589	1	2473	1	2285	1	1745	1	1613	1	1296	1	1518	1	2281	1	1366	1	2168	1	1748	1	1151	1	1226	1	1561	1	1444	1	3919	2	5191	-9	-9	2	4762	2	7208			84	73	23	35	64	49	51	51	52	51	"5ef4ab8bf256e60867b03916"	29	2	2	4	"British"	"English"	2	59	29	7	25	3	10	6	12	8	59	18	5	10	5	31	16	17	320		2020-07-27 11:13:04	T	F	18	18	5	5	0.97	9
51			"base"	"interview"	2020-07-27 11:07:44	0	64	"5873ec7758ca4c00018ce5c5"	"Forced4Forced4Forced2Forced3Forced2Forced4Forced4Forced4Forced4Forced4Forced3Forced1Forced2Forced4Forced4Forced3DV"	1	2875	1	2004	1	1205	1	1099	1	1661	1	1235	1	866	1	651	1	461	1	554	1	800	1	1520	1	6104	1	785	1	365	1	405	2	5812	2	334	57	49	2	3706	2	6022			24	74	66	19	31	78	21	21	21	21	"5873ec7758ca4c00018ce5c5"	7	1	2	5	"Portuguese"	"Portuguese"	2	22	7	2	11	5	15	1	12	7	19	6	7	6	5	13	7	22	167		2020-07-27 11:10:31	T	F	18	18	0	0	1.51	51
52			"base"	"interview"	2020-07-27 11:07:44	0	12	"5ecbc130a44ddb024e7f7847"	"Forced4Forced2Forced2Forced3Forced4Forced4Forced4Forced4Forced3Forced2Forced4Forced1Forced4Forced3Forced4Forced4DV"	1	4382	1	2409	1	2934	1	1782	1	2577	1	1298	1	1310	1	1146	1	3398	1	1225	1	919	1	1373	1	946	1	877	1	565	1	589	1	18571	1	10722	61	41	2	22712	2	4848	12	51			9	18	86	67	91	91	91	91	"5ecbc130a44ddb024e7f7847"	13	1	2	3	"Dutch"	"Dutch"	1	14	3	2	8	8	20	19	11	24	44	13	11	10	5	27	7	14	222		2020-07-27 11:11:44	T	F	18	18	0	0	1.2	31
